Meno	S1	S2	S3	S3_2011	S3_2012	S3_2013	S3a	S4	S4a	S4b	S4c	S4d	S5	S5a	S5b	S5c	S5d	S6	S7	S8	S8a	S8b	S9	S10	S11	S12	S13	S14	S15	S16a	S16b	S16c	S16d	S16e	S16f	S16g	S16h
JUDr. Ivan Daňo	0	0	2011 - 2013	Okresný súd Humenné	Okresný súd Humenné	Okresný súd Humenné	2011 - Okresný súd Humenné; 2012 - Okresný súd Humenné; 2013 - Okresný súd Humenné	bola prideľovaná najmä Trestná agenda	0	0	0	469	rozhodoval najmä v Trestnej agende	0	0	0	469	662	71	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 55 % prípadoch, pričom priemer v SR v rovnakej agende je 52,3 %.	40	22	Odvolanie proti rozhodnutiam sudcu je podávané v približne 8,5 % prípadoch. Priemer v SR je v rovnakej agende 8,4 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 3,8 %, pričom priemer v SR v rovnakej agende je 4 %.	Odhadovaná priemerná dĺžka konania sporu je 137 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 59 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 38 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 58,5 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 109 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 24,25 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 196. - 202. mieste. Za kvalitu získal 7,5 z 15 možných bodov, za efektivitu 16,75 z 25.	2013 - Nápad celoročne znížený na 2/3 z dôvodu výkonu funkcie podpredsedu sútu	2012 -  odborný seminár 2 dni 				2012 -  odborný seminár 2 dni 	2013 - Nápad celoročne znížený na 2/3 z dôvodu výkonu funkcie podpredsedu sútu	
JUDr. Ivan Pavlovič	0	0	2011 - 2013	Okresný súd Nové Mesto nad Váhom 	Okresný súd Nové Mesto nad Váhom 	Okresný súd Nové Mesto nad Váhom 	2011 - Okresný súd Nové Mesto nad Váhom ; 2012 - Okresný súd Nové Mesto nad Váhom ; 2013 - Okresný súd Nové Mesto nad Váhom 	bola prideľovaná najmä Trestná agenda	0	0	0	798	rozhodoval najmä v Trestnej agende	0	0	0	798	623	104	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 47,5 % prípadoch, pričom priemer v SR v rovnakej agende je 52,3 %.	80	38	Odvolanie proti rozhodnutiam sudcu je podávané v približne 10 % prípadoch. Priemer v SR je v rovnakej agende 8,4 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 5,3 %, pričom priemer v SR v rovnakej agende je 4 %.	Odhadovaná priemerná dĺžka konania sporu je 128 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 95 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 74 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 57,8 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 121,6 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 22,25 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 299. - 317. mieste. Za kvalitu získal 5,75 z 15 možných bodov, za efektivitu 16,5 z 25.		"2011 - semináre organizované JA SR - 2 semináre, t.j. 4 dni:

Ukladanie a výkon trestov a ochranných opatrení (26.-27.1.2011),
Prehľad aktuálnej judikatúry v oblasti trestného práva (8.-9.12.2011)
Rozšírené trestnoprávne kolégium KS TN (19.-20.9.2011)
; 2012 - semináre organizované JA SR - 2 semináre t.j. 3 dni : 
Drogová kriminalita (26-27.3.2012); Obmedzenie osobnej slobody (19.01.2012); 2013 - Semináre - školenia : 3 semináre - 6 dní : Európsky zatýkací rozkaz 7.-8.2.2013, Celokrajské školenie sudcov 3.-4.10.2013, Vázba, zaistenie osôb a majetku v trestnom konaní	27.-28.2.2013. 
"		"2011 - semináre organizované JA SR - 2 semináre, t.j. 4 dni:

Ukladanie a výkon trestov a ochranných opatrení (26.-27.1.2011),
Prehľad aktuálnej judikatúry v oblasti trestného práva (8.-9.12.2011)
Rozšírené trestnoprávne kolégium KS TN (19.-20.9.2011)
"		"2012 - semináre organizované JA SR - 2 semináre t.j. 3 dni : 
Drogová kriminalita (26-27.3.2012); Obmedzenie osobnej slobody (19.01.2012)"		"2013 - Semináre - školenia : 3 semináre - 6 dní : Európsky zatýkací rozkaz 7.-8.2.2013, Celokrajské školenie sudcov 3.-4.10.2013, Vázba, zaistenie osôb a majetku v trestnom konaní	27.-28.2.2013. 
"
JUDr. Ivan Roháč	0	0	2011 - 2013	Okresný súd Humenné	Okresný súd Humenné	Okresný súd Humenné	2011 - Okresný súd Humenné; 2012 - Okresný súd Humenné; 2013 - Okresný súd Humenné	bola prideľovaná najmä Trestná agenda	0	0	0	646	rozhodoval najmä v Trestnej agende	0	0	0	646	624	105	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 18,2 % prípadoch, pričom priemer v SR v rovnakej agende je 52,3 %.	66	12	Odvolanie proti rozhodnutiam sudcu je podávané v približne 10,2 % prípadoch. Priemer v SR je v rovnakej agende 8,4 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 8,4 %, pričom priemer v SR v rovnakej agende je 4 %.	Odhadovaná priemerná dĺžka konania sporu je 151 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 100 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 67 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 61,5 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 109 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 16,5 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 585. - 594. mieste. Za kvalitu získal 1 z 15 možných bodov, za efektivitu 15,5 z 25.								
JUDr. Ivan Spurný	0	0	2011 - 2013	Okresný súd Žiar nad Hronom 	Okresný súd Žiar nad Hronom 	Okresný súd Žiar nad Hronom 	2011 - Okresný súd Žiar nad Hronom ; 2012 - Okresný súd Žiar nad Hronom ; 2013 - Okresný súd Žiar nad Hronom 	bola prideľovaná najmä Občiansko-právna agenda	660	91	330	26	rozhodoval najmä v Občiansko-právnej agende	660	91	330	26	650	179	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 69,8 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	96	67	Odvolanie proti rozhodnutiam sudcu je podávané v približne 8,7 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 2,6 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 151 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 176 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 121 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 51,5 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 112,7 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 23,75 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 219. - 232. mieste. Za kvalitu získal 8,75 z 15 možných bodov, za efektivitu 15 z 25.		"2011 - Uvedený sudca sa nezúčastnil žiadneho vzdelávacieho podujatia. ; 2012 - Seminár ""Striedavá osobná starostlivosť, psychologické aspekty"" - 1 deň (09. 11. 2012). Seminár ""Efektívne využitie počítača, internetu a právnických vyhľadávačov - 2. časť"" - 1 deň (29. 11. 2012).; 2013 - Seminár ""Určovacie žaloby"" - 1 deň (14. 3. 2013). Seminár "" Dokazovanie, doručovanie v civilnom konaní"" - 1 deň (24. 9. 2013).  Seminár ""Rozvod (výška výživného, posudzovanie príjmov rodičov podnikateľov, nariadenie 4/2009 o vyživovacej povinnosti, BSM)"" - 1 deň (9. 10. 2013). "		2011 - Uvedený sudca sa nezúčastnil žiadneho vzdelávacieho podujatia. 		"2012 - Seminár ""Striedavá osobná starostlivosť, psychologické aspekty"" - 1 deň (09. 11. 2012). Seminár ""Efektívne využitie počítača, internetu a právnických vyhľadávačov - 2. časť"" - 1 deň (29. 11. 2012)."		"2013 - Seminár ""Určovacie žaloby"" - 1 deň (14. 3. 2013). Seminár "" Dokazovanie, doručovanie v civilnom konaní"" - 1 deň (24. 9. 2013).  Seminár ""Rozvod (výška výživného, posudzovanie príjmov rodičov podnikateľov, nariadenie 4/2009 o vyživovacej povinnosti, BSM)"" - 1 deň (9. 10. 2013). "
JUDr. Ivan Šimek	0	0	2011 - 2013	Okresný súd Skalica	Okresný súd Skalica	Okresný súd Skalica	2011 - Okresný súd Skalica; 2012 - Okresný súd Skalica; 2013 - Okresný súd Skalica	bola prideľovaná najmä agenda Starostlivosti o maloletých	0	0	772	205	rozhodoval najmä v agende Starostlivosti o maloletých	0	0	772	205	641	169	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 78,6 % prípadoch, pričom priemer v SR v rovnakej agende je 65,5 %.	42	33	Odvolanie proti rozhodnutiam sudcu je podávané v približne 4,3 % prípadoch. Priemer v SR je v rovnakej agende 7,2 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 0,9 %, pričom priemer v SR v rovnakej agende je 2,5 %.	Odhadovaná priemerná dĺžka konania sporu je 184 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 174 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 26 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 14,1 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 101,5 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 28,75 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 52. - 53. mieste. Za kvalitu získal 10,5 z 15 možných bodov, za efektivitu 18,25 z 25.		"2011 - 
Seminár - Ukladanie a výkon trestov a ochranných opatrení (2 dni)
Školenie sudcov organizované KS v Trnave - Omšenie (25.-27.5.); 2012 - Školenie sudcov organizované KS Trnava - Omšenie (3 dni); 2013 - 21.-22.2.2013 - uznávanie rozhodnutí cudzích štátov na území SR
28.-29.10.2013 - väzba, zaistenie osôb a majetku v trestnom konaní
11.-12.12.2013 - princípy vnútroštátnej aplikácie práva EÚ
Školenie sudcov organizované KS Trnava - Omšenie (3 dni)

"		"2011 - 
Seminár - Ukladanie a výkon trestov a ochranných opatrení (2 dni)
Školenie sudcov organizované KS v Trnave - Omšenie (25.-27.5.)"		2012 - Školenie sudcov organizované KS Trnava - Omšenie (3 dni)		"2013 - 21.-22.2.2013 - uznávanie rozhodnutí cudzích štátov na území SR
28.-29.10.2013 - väzba, zaistenie osôb a majetku v trestnom konaní
11.-12.12.2013 - princípy vnútroštátnej aplikácie práva EÚ
Školenie sudcov organizované KS Trnava - Omšenie (3 dni)

"
JUDr. Ivan Štepita	0	0	2011 - 2013	Okresný súd Ružomberok	Okresný súd Ružomberok	Okresný súd Ružomberok	2011 - Okresný súd Ružomberok; 2012 - Okresný súd Ružomberok; 2013 - Okresný súd Ružomberok	bola prideľovaná najmä Trestná agenda	0	72	55	480	rozhodoval najmä v Trestnej agende	0	72	55	480	610	101	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 63 % prípadoch, pričom priemer v SR v rovnakej agende je 52,3 %.	46	29	Odvolanie proti rozhodnutiam sudcu je podávané v približne 7,6 % prípadoch. Priemer v SR je v rovnakej agende 8,4 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 2,8 %, pričom priemer v SR v rovnakej agende je 4 %.	Odhadovaná priemerná dĺžka konania sporu je 94 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 58 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 29 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 39,7 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 100,9 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 28,5 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 54. - 64. mieste. Za kvalitu získal 10,25 z 15 možných bodov, za efektivitu 18,25 z 25.		"2013 - 9.5.2013 Trestné diny hospodárske a proti majetku. Daňové trestné činy. Colné delikty.
                                                                                                                                    2.4.2013 - 3.4.2013 Problematika dopravných trestných činov (dokazovanie,ukladanie trestov, znalecké dokazovanie)"						"2013 - 9.5.2013 Trestné diny hospodárske a proti majetku. Daňové trestné činy. Colné delikty.
                                                                                                                                    2.4.2013 - 3.4.2013 Problematika dopravných trestných činov (dokazovanie,ukladanie trestov, znalecké dokazovanie)"
JUDr. Ivana Dančová	1	0	2011 - 2013	Okresný súd Bratislava II 	Okresný súd Bratislava II 	Okresný súd Bratislava II 	2011 - Okresný súd Bratislava II ; 2012 - Okresný súd Bratislava II ; 2013 - Okresný súd Bratislava II 	bola prideľovaná najmä Občiansko-právna agenda	849	0	0	0	rozhodoval najmä v Občiansko-právnej agende	849	0	0	0	565	141	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 49,3 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	71	35	Odvolanie proti rozhodnutiam sudcu je podávané v približne 8,4 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 4,2 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 193 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 227 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 165 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 50,5 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 119,5 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 18,25 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 509. - 518. mieste. Za kvalitu získal 4,25 z 15 možných bodov, za efektivitu 14 z 25.	2011 - sudca nemá znížený nápad; 2012 - Sudca mal zastavený nápad.	2011 - sudca sa nezúčastnil žiadnych vzdelávacích aktivít; 2012 - Sudca sa nezúčastnil na žiadnej vzdelávacej aktivite.	2011 - sudca nemá znížený nápad	2011 - sudca sa nezúčastnil žiadnych vzdelávacích aktivít	2012 - Sudca mal zastavený nápad.	2012 - Sudca sa nezúčastnil na žiadnej vzdelávacej aktivite.		
JUDr. Ivana Jaďuďová	0	0	2011 - 2013	Okresný súd Komárno	Okresný súd Komárno	Okresný súd Komárno	2011 - Okresný súd Komárno; 2012 - Okresný súd Komárno; 2013 - Okresný súd Komárno	bola prideľovaná najmä Občiansko-právna agenda	1681	0	2	0	rozhodoval najmä v Občiansko-právnej agende	1681	0	2	0	652	263	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 36,1 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	119	43	Odvolanie proti rozhodnutiam sudcu je podávané v približne 7,1 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 4,5 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 239 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 395 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 303 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 57,4 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 136,7 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 13,25 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 663. - 669. mieste. Za kvalitu získal 2,25 z 15 možných bodov, za efektivitu 11 z 25.	2012 - Nebol dôvod na zníženie nápadu. Sudkyni agenda C podľa rozvrhu práce bola prideľovaná v 4/19-ine, agenda Cpr v 1/4-ine , agenda Ro v 4/19-ine,  a Er v 1/9-ine a agend S v 1/4-ine. ; 2013 - Nebol dôvod na zníženie nápadu. Podľa rozvrhu práce  v dôsledku výrazne zvýšeného nápadu vecí v agende C bol pomer  pridelených vecí  viackrát zmenený :z nápadu 1/6 na 5/31 a potom od 22.10. 2013 na 1/35, agenda Cpr bola prideľovaná v 1/6-ine potom v 1/7-ine,  agenda Ro v 1/6-ine  a od  22.3. 2013 v 1/35-ine a agenda Er v 1/9-ine a od 22.03.2013 v 1/10-ine.	"2011 - poslucháč - 1 pracovný deň  
téma : Aplikačné problémy OSP; 2012 -  1 pracovný deň ako poslucháč na seminári :Odstrániteľné a neodstrániteľné vady návrhu; 2013 - Sudkyňa sa nezúčastnila žiadnych aktivít."		"2011 - poslucháč - 1 pracovný deň  
téma : Aplikačné problémy OSP"	2012 - Nebol dôvod na zníženie nápadu. Sudkyni agenda C podľa rozvrhu práce bola prideľovaná v 4/19-ine, agenda Cpr v 1/4-ine , agenda Ro v 4/19-ine,  a Er v 1/9-ine a agend S v 1/4-ine. 	2012 -  1 pracovný deň ako poslucháč na seminári :Odstrániteľné a neodstrániteľné vady návrhu	2013 - Nebol dôvod na zníženie nápadu. Podľa rozvrhu práce  v dôsledku výrazne zvýšeného nápadu vecí v agende C bol pomer  pridelených vecí  viackrát zmenený :z nápadu 1/6 na 5/31 a potom od 22.10. 2013 na 1/35, agenda Cpr bola prideľovaná v 1/6-ine potom v 1/7-ine,  agenda Ro v 1/6-ine  a od  22.3. 2013 v 1/35-ine a agenda Er v 1/9-ine a od 22.03.2013 v 1/10-ine.	2013 - Sudkyňa sa nezúčastnila žiadnych aktivít.
JUDr. Ivana Jahnová	0	0	2011 - 2013	Okresný súd Bratislava V	Okresný súd Bratislava V	Okresný súd Bratislava V	2011 - Okresný súd Bratislava V; 2012 - Okresný súd Bratislava V; 2013 - Okresný súd Bratislava V	bola prideľovaná najmä Občiansko-právna agenda	1256	0	0	0	rozhodoval najmä v Občiansko-právnej agende	1256	0	0	0	658	187	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 68,1 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	72	49	Odvolanie proti rozhodnutiam sudcu je podávané v približne 5,7 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 1,8 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Odhadovaná priemerná dĺžka konania sporu je 308 dní. Priemer v SR bol na konci roka 346 dní.	Sudca mal na konci roka 2013 nevybavených 374 prípadov. Priemer v SR bol 238.	Sudca mal na konci roka 128 reštančných vecí, pričom priemer v SR je 126. To u sudcu tvorí 30,3 % z nevybavených vecí. Priemer v SR je 43,4.	Sudca dokázal v roku 2013 vybaviť, k počtu pridelených vecí, 90,6 % prípadov. Priemer v SR bol 99,6 %.	Sudca získal podľa našej metodológie celkovo 22,5 bodov. Spomedzi 739 hodnotených sudcov sa umiestnil na 286. - 298. mieste. Za kvalitu získal 9,5 z 15 možných bodov, za efektivitu 13 z 25.								
JUDr. Ivana Štiftová	0	0	2011 - 2012	Okresný súd Bratislava II 	Okresný súd Bratislava II 		2011 - Okresný súd Bratislava II ; 2012 - Okresný súd Bratislava II 	bola prideľovaná najmä Občiansko-právna agenda	315	0	0	0	rozhodoval najmä v Občiansko-právnej agende	315	0	0	0	289	84	Rozhodnutie sudcu bolo v prípade odvolania potvrdené v 64,2 % prípadoch, pričom priemer v SR v rovnakej agende je 62,9 %.	53	34	Odvolanie proti rozhodnutiam sudcu je podávané v približne 16,8 % prípadoch. Priemer v SR je v rovnakej agende 8,9 %.	Z celkového počtu rozhodnutí sudcu je zmenených alebo zrušených 6 %, pričom priemer v SR v rovnakej agende je 3,3 %.	Pre sudcu evidujeme menej ako 20 rozhodnutí, preto jeho efektivitu nehodnotíme.	N/A	N/A	N/A	Dáta o kvalite a efektivite sudcu nepovažujeme za dostatočné, preto sudcu bodovo nehodnotíme.	2011 - sudca nemá znížený nápad; 2012 - Sudca ma v roku 2012  v agende C zastavený nápad od 01.01.2012.	2011 - sudca sa zúčastnil 1x vzdelávacej aktivity, ktorú organizovala Justičná akadémia; 2012 - Sudca sa nezúčastnil žiadnej vzdelávacej aktivity.	2011 - sudca nemá znížený nápad	2011 - sudca sa zúčastnil 1x vzdelávacej aktivity, ktorú organizovala Justičná akadémia	2012 - Sudca ma v roku 2012  v agende C zastavený nápad od 01.01.2012.	2012 - Sudca sa nezúčastnil žiadnej vzdelávacej aktivity.		
